feature_count,features,precision,recall,f1,roc_auc
3,"verification_result, failed_attempts, hour",0.8253968253968254,0.8666666666666667,0.8455284552845529,0.9342261904761904
4,"verification_result, failed_attempts, key_size, algorithm",0.7638888888888888,0.9166666666666666,0.8333333333333334,0.9194642857142857
5,"verification_result, failed_attempts, verification_frequency, algorithm, hour",0.819672131147541,0.8333333333333334,0.8264462809917356,0.9525595238095237
3,"verification_result, failed_attempts, algorithm",0.7605633802816901,0.9,0.8244274809160306,0.9424404761904762
2,"verification_result, failed_attempts",0.7605633802816901,0.9,0.8244274809160306,0.9295833333333333
3,"verification_result, failed_attempts, key_size",0.7605633802816901,0.9,0.8244274809160306,0.9139880952380953
4,"verification_result, failed_attempts, algorithm, hour",0.8166666666666667,0.8166666666666667,0.8166666666666667,0.947797619047619
6,"verification_result, failed_attempts, verification_frequency, key_size, algorithm, hour",0.7846153846153846,0.85,0.816,0.960297619047619
2,"verification_result, hour",0.7333333333333333,0.9166666666666666,0.8148148148148148,0.9029761904761904
3,"verification_result, algorithm, hour",0.7727272727272727,0.85,0.8095238095238095,0.9097619047619048
4,"verification_result, verification_frequency, key_size, hour",0.8135593220338984,0.8,0.8067226890756303,0.9170833333333334
4,"verification_result, failed_attempts, verification_frequency, hour",0.78125,0.8333333333333334,0.8064516129032258,0.9424404761904761
5,"verification_result, failed_attempts, verification_frequency, key_size, hour",0.7903225806451613,0.8166666666666667,0.8032786885245902,0.9330952380952381
2,"verification_result, verification_frequency",0.7611940298507462,0.85,0.8031496062992126,0.8857142857142857
3,"verification_result, failed_attempts, verification_frequency",0.7692307692307693,0.8333333333333334,0.8,0.943154761904762
4,"verification_result, key_size, algorithm, hour",0.72,0.9,0.8,0.911547619047619
3,"verification_result, key_size, hour",0.7323943661971831,0.8666666666666667,0.7938931297709924,0.9022023809523809
5,"verification_result, failed_attempts, verification_frequency, key_size, algorithm",0.7868852459016393,0.8,0.7933884297520661,0.9400595238095237
5,"verification_result, failed_attempts, key_size, algorithm, hour",0.746268656716418,0.8333333333333334,0.7874015748031497,0.9486309523809524
4,"verification_result, failed_attempts, verification_frequency, algorithm",0.746268656716418,0.8333333333333334,0.7874015748031497,0.9395833333333333
3,"verification_result, verification_frequency, key_size",0.7538461538461538,0.8166666666666667,0.784,0.8473214285714286
3,"verification_result, verification_frequency, hour",0.7183098591549296,0.85,0.7786259541984732,0.919702380952381
5,"verification_result, verification_frequency, key_size, algorithm, hour",0.7183098591549296,0.85,0.7786259541984732,0.9169642857142857
2,"verification_result, algorithm",0.7183098591549296,0.85,0.7786259541984732,0.8831547619047618
3,"verification_result, key_size, algorithm",0.7183098591549296,0.85,0.7786259541984732,0.8716666666666667
1,verification_result,0.7183098591549296,0.85,0.7786259541984732,0.8535714285714286
2,"verification_result, key_size",0.7183098591549296,0.85,0.7786259541984732,0.84125
4,"verification_result, verification_frequency, algorithm, hour",0.7083333333333334,0.85,0.7727272727272727,0.9173809523809523
4,"verification_result, failed_attempts, key_size, hour",0.7313432835820896,0.8166666666666667,0.7716535433070866,0.9301785714285714
3,"verification_result, verification_frequency, algorithm",0.6428571428571429,0.9,0.75,0.8908333333333333
4,"verification_result, failed_attempts, verification_frequency, key_size",0.7258064516129032,0.75,0.7377049180327869,0.9149999999999999
4,"verification_result, verification_frequency, key_size, algorithm",0.6621621621621622,0.8166666666666667,0.7313432835820896,0.8535714285714285
4,"failed_attempts, verification_frequency, algorithm, hour",0.6984126984126984,0.7333333333333333,0.7154471544715447,0.8899404761904762
3,"failed_attempts, verification_frequency, hour",0.7321428571428571,0.6833333333333333,0.7068965517241379,0.8685119047619047
4,"failed_attempts, verification_frequency, key_size, hour",0.7407407407407407,0.6666666666666666,0.7017543859649122,0.8720238095238095
3,"failed_attempts, algorithm, hour",0.7192982456140351,0.6833333333333333,0.7008547008547008,0.866547619047619
5,"failed_attempts, verification_frequency, key_size, algorithm, hour",0.671875,0.7166666666666667,0.6935483870967742,0.8782142857142857
4,"failed_attempts, key_size, algorithm, hour",0.6268656716417911,0.7,0.6614173228346457,0.8564880952380952
2,"failed_attempts, hour",0.6557377049180327,0.6666666666666666,0.6611570247933884,0.8442857142857144
3,"failed_attempts, key_size, hour",0.6,0.7,0.6461538461538462,0.844702380952381
2,"failed_attempts, algorithm",0.609375,0.65,0.6290322580645161,0.799404761904762
4,"failed_attempts, verification_frequency, key_size, algorithm",0.6229508196721312,0.6333333333333333,0.628099173553719,0.8017261904761905
3,"failed_attempts, key_size, algorithm",0.6428571428571429,0.6,0.6206896551724138,0.8078571428571428
2,"failed_attempts, verification_frequency",0.6166666666666667,0.6166666666666667,0.6166666666666667,0.8129166666666667
3,"failed_attempts, verification_frequency, algorithm",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8167857142857143
3,"verification_frequency, algorithm, hour",0.48863636363636365,0.7166666666666667,0.581081081081081,0.7686309523809524
2,"failed_attempts, key_size",0.6829268292682927,0.4666666666666667,0.5544554455445545,0.7525
2,"verification_frequency, hour",0.46511627906976744,0.6666666666666666,0.547945205479452,0.7689285714285714
3,"failed_attempts, verification_frequency, key_size",0.532258064516129,0.55,0.5409836065573771,0.7649404761904761
