timestamp,verification_result,failed_attempts,verification_frequency,key_size,algorithm,hour,signature_size,certificate_valid,source_frequency,failed_verification_rate,document_size,metadata_anomaly,replay_indicator,key_age_days,time_since_previous,threat,risk_score,threat_level,attack_category
2026-08-30T13:40:40,1,0,1,2048,RSA-PSS,12,256,1,1,0.0,211,0,0,0,0,0,0,LOW,BENIGN
2026-08-30T13:45:07,1,0,1,2048,RSA-PSS,12,256,1,1,0.0,211,0,0,0,0,0,0,LOW,BENIGN
2026-08-30T13:48:49,0,1,1,2048,RSA-PSS,12,256,1,1,1.0,203,0,0,0,0,1,45,MEDIUM,DOCUMENT_TAMPERING
2026-08-30T13:55:36,0,1,4,2048,RSA-PSS,12,256,1,4,0.5,203,0,0,0,407,1,35,LOW,DOCUMENT_TAMPERING
2026-08-30T14:00:56,0,1,5,2048,RSA-PSS,14,256,1,1,0.6,203,0,0,0,319,1,35,LOW,DOCUMENT_TAMPERING
2026-08-30T14:12:58,1,0,6,2048,RSA-PSS,14,256,1,1,0.5,211,0,0,0,722,0,10,LOW,BENIGN
2026-08-30T14:14:06,1,0,7,2048,RSA-PSS,14,256,1,1,0.4286,211,0,1,0,68,1,15,LOW,REPLAY
2026-08-30T14:15:58,1,0,8,2048,RSA-PSS,14,256,1,1,0.375,211,0,1,0,112,1,15,LOW,REPLAY
2026-08-30T14:18:40,1,0,9,2048,RSA-PSS,14,256,1,1,0.3333,211,0,0,0,162,0,0,LOW,BENIGN
2026-08-30T14:19:19,1,0,10,2048,RSA-PSS,14,256,1,1,0.3,211,0,1,0,39,1,15,LOW,REPLAY
2026-08-30T14:29:27,1,0,11,2048,RSA-PSS,14,256,1,1,0.2727,211,0,1,0,607,1,15,LOW,REPLAY
2026-08-30T14:29:49,1,0,12,2048,RSA-PSS,14,256,1,1,0.25,211,0,1,0,22,0,15,LOW,REPLAY
2026-08-30T14:31:10,1,0,13,2048,RSA-PSS,14,256,1,1,0.2308,211,0,1,0,81,0,15,LOW,REPLAY
2026-08-30T14:35:13,1,0,14,2048,RSA-PSS,14,256,1,1,0.2143,211,0,1,0,243,0,15,LOW,REPLAY
2026-08-30T14:39:32,1,0,15,2048,RSA-PSS,14,256,1,1,0.2,211,0,1,0,259,0,15,LOW,REPLAY
2026-08-30T14:46:32,1,0,16,2048,RSA-PSS,14,256,1,1,0.1875,211,0,1,0,420,0,15,LOW,REPLAY
2026-08-31T17:52:10,1,0,17,2048,RSA-PSS,17,256,1,1,0.1765,211,0,1,0,97538,0,15,LOW,REPLAY
2026-08-31T17:53:50,0,1,18,2048,RSA-PSS,17,256,1,1,0.2222,203,0,0,0,99,0,25,LOW,DOCUMENT_TAMPERING
2026-08-31T17:56:22,1,0,19,2048,RSA-PSS,17,256,1,1,0.2105,211,0,1,0,152,0,15,LOW,REPLAY
2026-08-31T17:58:18,0,1,20,2048,RSA-PSS,17,256,1,1,0.25,203,0,1,0,116,1,40,MEDIUM,DOCUMENT_TAMPERING
2026-08-31T17:59:06,0,1,21,2048,RSA-PSS,17,256,1,1,0.2857,203,0,1,0,48,1,40,MEDIUM,DOCUMENT_TAMPERING
2026-08-31T18:09:19,1,0,22,2048,RSA-PSS,18,256,1,1,0.2727,14,0,0,0,613,0,0,LOW,BENIGN
2026-08-31T18:11:01,0,1,23,2048,RSA-PSS,18,256,1,1,0.3043,24,0,0,0,102,0,25,LOW,DOCUMENT_TAMPERING
2026-08-31T18:15:54,0,1,24,2048,RSA-PSS,18,256,1,1,0.3333,24,0,1,0,293,1,40,MEDIUM,DOCUMENT_TAMPERING
2026-08-31T18:17:24,0,1,25,2048,RSA-PSS,18,256,1,1,0.36,24,0,1,0,89,1,40,MEDIUM,DOCUMENT_TAMPERING
2026-08-31T18:18:38,1,0,26,2048,RSA-PSS,18,256,1,1,0.3462,14,0,1,0,74,1,15,LOW,REPLAY
2026-08-31T18:26:23,1,0,27,2048,RSA-PSS,18,256,1,1,0.3333,14,0,1,0,465,1,15,LOW,REPLAY
2026-08-31T18:27:13,1,0,28,2048,RSA-PSS,18,256,1,1,0.3214,14,0,1,0,49,1,15,LOW,REPLAY
2026-08-31T19:57:22,1,0,29,2048,RSA-PSS,19,256,1,1,0.3103,14,0,1,0,5409,1,15,LOW,REPLAY
