verification_result,failed_attempts,verification_frequency,key_size,algorithm,hour,signature_size,certificate_valid,source_frequency,failed_verification_rate,document_size,metadata_anomaly,replay_indicator,key_age_days,time_since_previous,threat
1,24,29,2048,RSA-PSS,17,638,1,3,0.8275862068965517,4531,0,0,1181,243,1
1,9,15,3072,RSA-PKCS1v15,22,888,1,7,0.6,3136,0,0,847,695,1
1,2,8,2048,RSA-PSS,10,896,1,29,0.25,2386,0,0,81,158,0
1,10,21,4096,RSA-PSS,0,718,1,34,0.47619047619047616,463,0,0,1232,146,0
1,12,19,3072,RSA-PKCS1v15,18,706,1,7,0.631578947368421,3469,0,0,826,340,1
1,20,23,2048,RSA-PSS,21,773,0,17,0.8695652173913043,4869,0,0,1110,866,1
1,7,11,3072,RSA-PSS,9,950,1,13,0.6363636363636364,3511,1,0,744,745,1
1,7,11,2048,RSA-PKCS1v15,1,805,1,21,0.6363636363636364,3557,0,0,1471,92,1
1,3,24,3072,RSA-PSS,6,371,1,31,0.125,1158,0,0,177,329,0
1,14,24,4096,RSA-PKCS1v15,19,869,1,9,0.5833333333333334,532,0,0,511,172,1
1,2,3,2048,RSA-PSS,1,263,1,45,0.6666666666666666,4587,0,0,1643,702,0
1,10,22,2048,RSA-PSS,18,473,1,47,0.45454545454545453,131,1,0,139,31,1
1,2,2,1024,RSA-PSS,5,974,1,13,1.0,3628,0,0,1126,621,0
1,0,24,3072,RSA-PSS,9,845,1,17,0.0,4686,0,0,473,272,0
1,16,30,2048,RSA-PKCS1v15,8,659,1,8,0.5333333333333333,3732,0,1,1846,95,1
1,2,2,2048,RSA-PKCS1v15,7,822,1,9,1.0,3093,0,0,542,989,0
1,19,21,2048,RSA-PKCS1v15,10,559,1,9,0.9047619047619048,2182,1,0,194,77,1
1,23,33,2048,RSA-PSS,8,722,1,40,0.696969696969697,2716,0,0,1857,151,1
1,5,12,4096,RSA-PSS,19,995,0,48,0.4166666666666667,4823,0,1,1780,142,1
1,14,22,2048,RSA-PKCS1v15,19,343,1,30,0.6363636363636364,3317,0,0,486,231,1
1,8,25,3072,RSA-PKCS1v15,8,265,1,7,0.32,3652,0,0,1338,770,0
0,13,27,4096,RSA-PKCS1v15,7,563,1,17,0.48148148148148145,2827,0,0,1721,908,1
1,17,28,3072,RSA-PKCS1v15,14,689,1,39,0.6071428571428571,4511,1,0,805,954,1
1,16,16,2048,RSA-PSS,1,419,1,38,1.0,1494,0,0,247,128,1
1,1,15,3072,RSA-PKCS1v15,23,494,1,5,0.06666666666666667,286,1,0,630,860,0
1,0,3,4096,RSA-PSS,0,572,0,17,0.0,1258,1,0,438,736,1
1,3,7,1024,RSA-PKCS1v15,8,911,1,40,0.42857142857142855,1134,0,0,73,696,0
1,19,21,2048,RSA-PSS,8,590,1,1,0.9047619047619048,2911,0,0,1093,497,1
1,8,9,2048,RSA-PKCS1v15,12,273,0,16,0.8888888888888888,1667,0,0,754,280,1
1,10,18,2048,RSA-PKCS1v15,7,326,1,17,0.5555555555555556,1763,0,0,1176,805,1
1,0,4,2048,RSA-PSS,20,430,0,30,0.0,4612,0,0,831,541,0
0,17,25,3072,RSA-PSS,4,594,1,31,0.68,3668,0,0,94,810,1
1,5,14,2048,RSA-PKCS1v15,2,503,1,35,0.35714285714285715,3412,0,0,435,530,0
1,1,9,3072,RSA-PSS,20,448,1,45,0.1111111111111111,4342,0,0,1807,131,0
1,14,26,3072,RSA-PKCS1v15,3,674,0,8,0.5384615384615384,761,0,0,1455,461,1
1,0,2,3072,RSA-PSS,16,580,1,48,0.0,174,0,0,457,269,0
1,20,20,3072,RSA-PKCS1v15,15,561,1,30,1.0,1702,0,0,1454,618,1
